alsinol01,Olle Alsing,2021,1,,,,,12
altma01,Mark Alt,2015-2021,1,,,,,105
alvesjo01,Jorge Alves,2017,0,,,,,2
alzneka01,Karl Alzner,2009-2020,0,,,,,1632
amadida01,Dave Amadio,1958-1969,0,,,,,284
amadimi01,Michael Amadio,2018-2024,1,,,,,1749
amanni01,Nils Åman,2023-2024,1,,,,,402
ambrope01,Peter Ambroziak,1995,0,,,,,26
amodemi01,Mike Amodeo,1973-1980,0,,,,,790
amontto01,Tony Amonte,1992-2007,0,,,,,4636
anderfr01,Frederik Andersen,2014-2024,1,,,,,1530
andercr01,Craig Anderson,2003-2023,1,,,,,2343
anderda01,Dale Anderson,1957,0,,,,,26
anderea01,Earl Anderson,1975-1977,0,,,,,454
andergl01,Glenn Anderson,1981-1996,0,,,,,4800
anderji01,Jim Anderson,1968,0,,,,,20
anderjo08,Joey Anderson,2019-2024,1,,,,,711
anderjo01,John Anderson,1978-1989,0,,,,,3196
anderjo05,Josh Anderson,2015-2024,1,,,,,2274
anderlo01,Lorne Anderson,1952,0,,,,,6
anderma01,Matt Anderson,2013,0,,,,,6
andermi02,Michael Anderson,2020-2024,1,,,,,978
andermu01,Murray Anderson,1975,0,,,,,82
anderpe01,Perry Anderson,1982-1992,0,,,,,1018
anderro01,Ron Anderson,1968-1974,0,,,,,1016
anderro02,Ron Anderson,1975,0,,,,,88
anderro03,Ron F. Anderson,1973-1975,0,,,,,306
anderru01,Russ Anderson,1977-1985,0,,,,,1402
andersh01,Shawn Anderson,1987-1995,0,,,,,634
anderto01,Tom Anderson,1935-1942,0,,,,,1010
anderja01,Jaret Anderson-Dolan,2019-2024,1,,,,,570
anderer01,Erik Andersson,1998,0,,,,,30
anderjo03,Joakim Andersson,2012-2016,0,,,,,482
anderjo02,Jonas Andersson,2002-2011,0,,,,,18
anderke01,Kent-Erik Andersson,1978-1984,0,,,,,1262
anderli01,Lias Andersson,2018-2023,1,,,,,381
andermi01,Mikael Andersson,1986-2000,0,,,,,2282
anderni01,Niklas Andersson,1993-2001,0,,,,,562
anderpe03,Peter Andersson,1993-1994,0,,,,,172
anderpe02,Peter Andersson,1984-1986,0,,,,,654
anderra01,Rasmus Andersson,2017-2024,1,,,,,1965
andraem01,Emil Andrae,2024,1,,,,,12
andrast01,Steve Andrascik,1975-1976,0,,,,,426
andrepa01,Paul Andrea,1966-1974,0,,,,,1076
andrera01,Randy Andreachuk,1975,0,,,,,4
andrean01,Andy Andreoff,2015-2023,1,,,,,645
andreal01,Alexander Andrevi,1979,0,,,,,24
andrell01,Lloyd Andrews,1922-1925,0,,,,,134
andreda01,Dave Andreychuk,1983-2006,0,,,,,6810
andrial01,Alexander Andrievski,1993,0,,,,,2
andrisv01,Sven Andrighetto,2015-2019,0,,,,,738
andruro01,Ron Andruff,1975-1979,0,,,,,416
andrugr01,Greg Andrusak,1994-2000,0,,,,,68
angelmi01,Mike Angelidis,2012-2016,0,,,,,32
angelan01,Anthony Angello,2020-2022,1,,,,,108
angelme01,Mel Angelstad,2004,0,,,,,4
anglety01,Tyler Angle,2023-2024,1,,,,,15
angotlo01,Lou Angotti,1965-1975,0,,,,,2088
anholda01,Darrel Anholt,1984,0,,,,,2
anisiar01,Artem Anisimov,2009-2021,1,,,,,3441
annunju01,Justus Annunen,2022-2024,1,,,,,57
anslohu01,Hub Anslow,1948,0,,,,,4
antipvi01,Victor Antipin,2018,0,,,,,114
antonmi01,Mike Antonovich,1973-1984,0,,,,,2228
antossh01,Shawn Antoski,1991-1998,0,,,,,476
antroni01,Nik Antropov,2000-2013,0,,,,,2786
appleke01,Kenneth Appleby,2018-2024,1,,,,,12
applema01,Mason Appleton,2019-2024,1,,,,,1602
appssy02,Syl Apps,1971-1980,0,,,,,3108
appssy01,Syl Apps,1937-1948,0,,,,,1710
arboual01,Al Arbour,1954-1971,0,,,,,1392
arbouam01,Amos Arbour,1919-1924,0,,,,,366
