axelspj01,P.J. Axelsson,1998-2009,0,,,,,2168
ayresda01,David Ayres,2020,0,,,,,2
babchan01,Anton Babchuk,2004-2013,0,,,,,1124
bachmri01,Richard Bachman,2011-2019,0,,,,,98
backeda01,David Backes,2007-2021,0,,,,,3108
backljo01,Johan Backlund,2010,0,,,,,2
backlmi01,Mikael Backlund,2009-2024,1,,,,,4563
backmch01,Christian Bäckman,2003-2009,0,,,,,924
backsni02,Nicklas Bäckström,2008-2024,1,,,,,6414
backsni01,Niklas Bäckström,2007-2016,0,,,,,836
baddobr01,Brandon Baddock,2022,1,,,,,3
baertsv01,Sven Baertschi,2012-2022,0,,,,,908
bagnadr01,Drew Bagnall,2011,0,,,,,4
bahlke01,Kevin Bahl,2021-2024,1,,,,,519
baileca01,Casey Bailey,2015-2017,0,,,,,28
bailejo01,Josh Bailey,2009-2023,1,,,,,4911
baileju01,Justin Bailey,2016-2024,1,,,,,492
bainsar01,Arshdeep Bains,2024,1,,,,,24
balceru01,Rūdolfs Balcers,2019-2023,1,,,,,762
balinuv01,Uvis Balinskis,2024,1,,,,,87
balisch01,Chase Balisy,2018,0,,,,,16
ballake01,Keith Ballard,2006-2015,0,,,,,1558
banckca01,Carter Bancks,2013,0,,,,,4
bangda01,Daniel Bang,2013,0,,,,,20
baptini01,Nicholas Baptiste,2017-2018,0,,,,,114
barabal01,Alexander Barabanov,2021-2024,1,,,,,1029
baraniv01,Ivan Baranka,2008,0,,,,,4
barbaiv01,Ivan Barbashev,2017-2024,1,,,,,2643
barberi01,Riley Barber,2017-2022,1,,,,,48
barbema01,Mark Barberio,2013-2020,0,,,,,802
barchkr01,Krys Barch,2007-2014,0,,,,,944
bardrco01,Cole Bardreau,2020-2023,1,,,,,39
barkeca01,Cam Barker,2006-2013,0,,,,,994
barkoal01,Aleksander Barkov,2014-2024,1,,,,,4344
barnest01,Stu Barnes,1992-2008,0,,,,,4448
barreal01,Alex Barré-Boulet,2021-2024,1,,,,,324
barrity01,Tyson Barrie,2012-2024,1,,,,,4362
barroju01,Justin Barron,2022-2024,1,,,,,399
barromo01,Morgan Barron,2021-2024,1,,,,,777
bartkma01,Matt Bartkowski,2011-2021,1,,,,,912
bartlvi01,Victor Bartley,2013-2016,0,,,,,308
bartuos01,Oskars Bārtulis,2010-2011,0,,,,,150
barzama01,Mathew Barzal,2017-2024,1,,,,,2826
bassco01,Cody Bass,2008-2017,0,,,,,160
bastina01,Nathan Bastian,2019-2024,1,,,,,1095
batessh01,Shawn Bates,1998-2008,0,,,,,1326
bathedr01,Drake Batherson,2019-2024,1,,,,,1602
battaba01,Bates Battaglia,1998-2008,0,,,,,1934
baumgno01,Nolan Baumgartner,1996-2010,0,,,,,446
baunky01,Kyle Baun,2015-2016,0,,,,,10
baydary01,Ryan Bayda,2003-2009,0,,,,,438
bayrega01,Gavin Bayreuther,2019-2023,1,,,,,450
beaglja01,Jay Beagle,2009-2022,0,,,,,1580
beanja01,Jake Bean,2019-2024,1,,,,,759
bearet01,Ethan Bear,2018-2024,1,,,,,1026
beaucfr01,François Beauchemin,2003-2018,0,,,,,2794
beaudje01,J.C. Beaudin,2020,0,,,,,46
beaudni01,Nicolas Beaudin,2020-2022,1,,,,,84
beaulna01,Nathan Beaulieu,2013-2023,1,,,,,1887
beauvan01,Anthony Beauvillier,2017-2024,1,,,,,2985
beckow01,Owen Beck,2023,1,,,,,3
beckta01,Taylor Beck,2013-2017,0,,,,,240
beckfch01,Chris Beckford-Tseu,2008,0,,,,,2
beckmad01,Adam Beckman,2022-2024,1,,,,,78
bedarco01,Connor Bedard,2024,1,,,,,387
beechkr01,Kris Beech,2001-2008,0,,,,,628
beechjo01,John Beecher,2024,1,,,,,186
beginst01,Steve Bégin,1998-2013,0,,,,,1412
belakwa01,Wade Belak,1997-2011,0,,,,,1516
belaner01,Éric Bélanger,2001-2013,0,,,,,2822
belesma01,Matt Beleskey,2009-2019,0,,,,,1300
bellbr02,Brendan Bell,2006-2012,0,,,,,364
bellma01,Mark Bell,2001-2012,0,,,,,1264
bellesh01,Shawn Belle,2007-2011,0,,,,,60
bellepi01,Pierre-Édouard Bellemare,2015-2024,1,,,,,2514
bellebr01,Brett Bellemore,2013-2015,0,,,,,282
belloki01,Kieffer Bellows,2020-2023,1,,,,,462
belovan01,Anton Belov,2014,0,,,,,128
belpelo01,Louis Belpedio,2018-2024,1,,,,,66
belzial01,Alex Belzile,2021-2023,1,,,,,177
bemstem01,Emil Bemström,2020-2024,1,,,,,1122
beniema01,Matthew Beniers,2022-2024,1,,,,,810
bennja01,Jamie Benn,2010-2024,1,,,,,6057
bennjo01,Jordie Benn,2012-2023,0,,,,,1762
bennebe01,Beau Bennett,2013-2018,0,,,,,528
bennesa01,Sam Bennett,2015-2024,1,,,,,2925
bennima01,Matt Benning,2017-2024,1,,,,,1677
benoian01,André Benoit,2011-2016,0,,,,,458
benoisi01,Simon Benoit,2021-2024,1,,,,,663
bensoty01,Tyler Benson,2020-2023,1,,,,,123
bensoza01,Zach Benson,2024,1,,,,,303
bentise01,Sean Bentivoglio,2009,0,,,,,2
berarbr01,Bryan Berard,1997-2008,0,,,,,2090
bergese01,Sean Bergenheim,2004-2015,0,,,,,1522
bergema02,Marc-André Bergeron,2003-2013,0,,,,,1914
bergepa01,Patrice Bergeron,2004-2023,0,,,,,4668
bergfni01,Niclas Bergfors,2008-2012,0,,,,,978
berggjo02,Jonatan Berggren,2023-2024,1,,,,,339
berglpa01,Patrik Berglund,2009-2019,0,,,,,2086
bergmle01,Lean Bergmann,2020-2021,1,,,,,42
berlima01,Matthew Berlin,2023,1,,,,,3
bernaja01,Jacob Bernard-Docker,2021-2024,1,,,,,360
berniti01,Tim Berni,2023,1,,,,,186
bernijo01,Jonathan Bernier,2008-2022,0,,,,,824
bernist01,Steve Bernier,2006-2018,0,,,,,1950
berrare01,Reto Berra,2014-2018,0,,,,,216
bertiad01,Adam Berti,2008,0,,,,,4
bertsch02,Christoph Bertschy,2016-2018,0,,,,,20
bertuto01,Todd Bertuzzi,1996-2014,0,,,,,4124
bertuty01,Tyler Bertuzzi,2017-2024,1,,,,,2241
berubje02,Jean-François Bérubé,2016-2022,1,,,,,123
bettsbl01,Blair Betts,2002-2011,0,,,,,1110
bibeaan01,Antoine Bibeau,2017-2020,0,,,,,8
bickest01,Stu Bickel,2012-2015,0,,,,,172
bickebr01,Bryan Bickell,2007-2017,0,,,,,1062
biegaal01,Alex Biega,2015-2022,0,,,,,570
biegada01,Danny Biega,2015,0,,,,,24
biekske01,Kevin Bieksa,2006-2018,0,,,,,2172
bigrach01,Chris Bigras,2016-2018,0,,,,,100
