link:/analytics/,advanced stats,,1,,,,,
link:/players/s/steenal01.html,alex steen,,1,,,,,
link:/allstar/,all star games,,1,,,,,
link:/amateurs/,amateurs,,1,,,,,
link:/analytics/,analytics,,1,,,,,
link:/players/b/berenbu01.html,Andrew Berenzweig,,1,,,,,
link:/players/d/deangan01.html,Anthony DeAngelo,,1,,,,,
link:/awards/ross.html,Art Ross Trophy,,1,,,,,
link:/awards/,awards,,1,,,,,
link:/friv/birthdays.cgi,Birthdays,,1,,,,,
link:/boxscores/,boxes,,1,,,,,
link:/players/b/berenbu01.html,Bubba Berenzweig,,1,,,,,
link:/awards/calder.html,Calder Trophy,,1,,,,,
link:/teams/captains.html,captains,,1,,,,,
link:/coaches/,coaches,,1,,,,,
link:/players/m/mckaydo01.html,Doug McKay,,1,,,,,
link:/draft/,draft,,1,,,,,
link:/players/o/olczyed01.html,Ed Olczyk,,1,,,,,
link:/friv/,Frivolities,,1,,,,,
link:/about/,glossary,,1,,,,,
link:/awards/hhof.html,hall of fame,,1,,,,,
link:/awards/hart.html,Hart Trophy,,1,,,,,
link:/leaders/hat_trick_career.html,Hat tricks,,1,,,,,
link:/immaculate-grid,Immaculate Grid,,1,,,,,
link:/players/d/dumonjp01.html,Jean-Pierre Dumont,,1,,,,,
link:/players/b/bucykjo01.html,john bucyk,,1,,,,,
link:/leaders/,leaders,,1,,,,,
link:/leagues/,leagues,,1,,,,,
link:/friv/milestones.cgi,Milestone Watch,,1,,,,,
link:/friv/players-who-played-for-multiple-teams-franchises.fcgi,Multi-franchise players,,1,,,,,
link:/awards/hart.html,mvp,,1,,,,,
link:/players/,players,,1,,,,,
link:/friv/players-who-played-for-multiple-teams-franchises.fcgi,Players who played for,,1,,,,,
link:/rand.fcgi,Random,,1,,,,,
link:/leaders/,records,,1,,,,,
link:/players/l/lemelre01.html,Reggie Lemelin,,1,,,,,
link:/awards/calder.html,rookie of the year,,1,,,,,
link:/boxscores/,scores,,1,,,,,
link:/arenas/,stadiums,,1,,,,,
link:/leagues/NHL_2024_standings.html,standings,,1,,,,,
link:/playoffs/,stanley cup winners,,1,,,,,
link:https://stathead.com/hockey/,Stathead,,1,,,,,
link:/players/,statistics,,1,,,,,
link:/players/l/leachst01.html,Stephen Leach,,1,,,,,
link:/friv/numbers.cgi,sweater numbers,,1,,,,,
link:/teams/,teams,,1,,,,,
link:/awards/vezina.html,Vezina Trophy,,1,,,,,
